2015-05-04 05:35:22,966 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MaxTemperatureCDH5:MaxTemperatureCDH5:0.0.1 @ C:\Hadoop\workspace-course\MaxTemperatureCDH5\pom.xml.
2015-05-04 05:35:27,146 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MaxTemperatureCDH5:MaxTemperatureCDH5:0.0.1 @ C:\Hadoop\workspace-course\MaxTemperatureCDH5\pom.xml.
2015-05-04 05:35:27,262 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:35:27,263 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaxTemperatureCDH5\src\main\resources
2015-05-04 05:35:27,268 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:35:27,269 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaxTemperatureCDH5\src\test\resources
2015-05-04 05:35:28,347 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MaxTemperatureCDH5:MaxTemperatureCDH5:0.0.1 @ C:\Hadoop\workspace-course\MaxTemperatureCDH5\pom.xml.
2015-05-04 05:35:30,041 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:35:30,043 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaxTemperatureCDH5\src\main\resources
2015-05-04 05:35:30,046 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:35:30,047 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaxTemperatureCDH5\src\test\resources
2015-05-04 05:36:03,766 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:36:03,767 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaxTemperatureCDH5\src\main\resources
2015-05-04 05:36:03,770 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:36:03,771 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaxTemperatureCDH5\src\test\resources
2015-05-04 05:39:06,214 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:06,222 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaxTemperatureCDH5\src\main\resources
2015-05-04 05:39:06,228 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:06,229 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaxTemperatureCDH5\src\test\resources
2015-05-04 05:39:39,331 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MaxTemperatureCDH5:MaxTemperatureCDH5:0.0.1 @ C:\Hadoop\workspace-course\MaximumClosePrice\pom.xml.
2015-05-04 05:39:40,699 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:40,701 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:39:40,704 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:40,705 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:39:41,809 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MaxTemperatureCDH5:MaxTemperatureCDH5:0.0.1 @ C:\Hadoop\workspace-course\MaximumClosePrice\pom.xml.
2015-05-04 05:39:42,315 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:42,340 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:39:42,343 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:42,344 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:39:44,003 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:44,004 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:39:44,007 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:39:44,009 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:40:26,264 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:26,268 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:40:26,271 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:26,273 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
2015-05-04 05:40:36,834 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:36,835 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\main\resources
2015-05-04 05:40:36,838 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 05:40:36,839 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\MaximumClosePrice\src\test\resources
